k,median_error_mm,rmse_mm,p95_mm,n_params,inference_state_bytes,history_bytes,feature_latency_us,model_latency_us,total_latency_us,predictions_per_sec
1,13.274128221829022,32.0819105212322,51.8661072920249,20,232,40,15.7,6.9,33.2,30120.481927710844
3,13.016876675206532,31.143086280849392,51.1841108632899,20,232,120,14.7,6.9,27.5,36363.63636363636
5,13.256212650599156,31.406044575943568,51.48955750353269,20,232,200,14.4,6.6,27.4,36496.3503649635
10,13.22683133004721,30.905490811865267,48.82090195988709,20,232,400,14.4,6.7,27.3,36630.03663003663
