k,median_latency_ms,predictions_per_sec,utilization_pct_of_33.33ms,headroom_ms,keeps_up_trajectory_predictor_only
1,0.0332,30120.481927710844,0.0996,33.300133333333335,True
3,0.0275,36363.63636363636,0.08249999999999999,33.30583333333333,True
5,0.027399999999999997,36496.3503649635,0.08219999999999998,33.305933333333336,True
10,0.0273,36630.03663003663,0.0819,33.30603333333334,True
