h_mm,original_within_recording_accuracy,unseen_joint_accuracy,difference,original_macro_f1,unseen_macro_f1
10,0.9964929859719439,0.984171322160149,-0.012321663811794892,0.9964877590661039,0.9841707423594983
20,0.9959919839679359,0.9810614916997896,-0.014930492268146245,0.9959861647361647,0.9810613426150541
30,0.9949899799599199,0.9814374107567825,-0.01355256920313741,0.9949830842469851,0.9814322579592547
40,0.9964929859719439,0.9749360613810741,-0.021556924590869775,0.9964877590661039,0.9747071166218562
