h_mm,ball_accuracy,box_accuracy,balanced_accuracy,ball_median_cells,box_median_cells,sphere_fit_valid_pct,box_fit_valid_pct
20.0,1.0,0.9401709401709402,0.9700854700854701,10.0,31.0,100.0,100.0
22.5,0.7777777777777778,1.0,0.8888888888888888,9.0,26.0,77.97619047619048,100.0
25.0,0.36904761904761907,0.8290598290598291,0.5990537240537241,8.0,21.0,58.13492063492063,83.54700854700855
27.5,0.21626984126984128,0.16666666666666666,0.19146825396825395,6.0,19.0,30.158730158730158,16.666666666666668
30.0,0.037698412698412696,0.0,0.018849206349206348,6.0,17.0,12.103174603174603,0.0
