recording,h_mm,n_trials,n_detected,n_correct,id_rate,det_rate,saved_sweep_id_rate
ball_static,10.0,504,504,503,0.998015873015873,1.0,0.998015873015873
ball_static,20.0,504,504,504,1.0,1.0,1.0
ball_static,30.0,504,504,19,0.037698412698412696,1.0,0.037698412698412696
ball_static,40.0,504,504,0,0.0,1.0,0.0
box_static,10.0,468,468,363,0.7756410256410257,1.0,0.7756410256410257
box_static,20.0,468,468,440,0.9401709401709402,1.0,0.9401709401709402
box_static,30.0,468,468,0,0.0,1.0,0.0
box_static,40.0,468,468,0,0.0,1.0,0.0
